"","SchoolID","SchoolName"
"1",400018,"AUSTIN BUS \u0026 ENTRP HS"
"2",609674,"CHICAGO VOCATIONAL HS"
"3",609676,"DUNBAR HS"
"4",609678,"JONES HS"
"5",609679,"PROSSER HS"
"6",609680,"PAYTON HS"
"7",609682,"RICHARDS HS"
"8",609691,"NORTH-GRAND HS"
"9",609692,"SIMEON HS"
"10",609693,"GEORGE WESTINGHOUSE HS"
"11",609694,"HANCOCK HS"
"12",609695,"AMUNDSEN HS"
"13",609698,"BOGAN HS"
"14",609702,"CRANE HS"
"15",609704,"FARRAGUT HS"
"16",609705,"FENGER HS"
"17",609707,"ROBESON HS"
"18",609708,"FOREMAN HS"
"19",609709,"GAGE PARK HS"
"20",609710,"HARLAN HS"
"21",609711,"HARPER HS"
"22",609712,"HIRSCH HS"
"23",609713,"HYDE PARK HS"
"24",609715,"KELLY HS"
"25",609716,"KELVYN PARK HS"
"26",609718,"KENNEDY HS"
"27",609719,"LAKE VIEW HS"
"28",609720,"LANE HS"
"29",609722,"MANLEY HS"
"30",609723,"MARSHALL HS"
"31",609724,"MATHER HS"
"32",609725,"MORGAN PARK HS"
"33",609726,"BROOKS HS"
"34",609727,"PHILLIPS HS"
"35",609728,"ROOSEVELT HS"
"36",609729,"SCHURZ HS"
"37",609730,"SENN HS"
"38",609732,"STEINMETZ COLLEGE PREP HS"
"39",609733,"SULLIVAN HS"
"40",609734,"TAFT HS"
"41",609735,"TILDEN HS"
"42",609736,"DYETT HS"
"43",609737,"VON STEUBEN HS"
"44",609738,"LINCOLN PARK HS"
"45",609739,"WASHINGTON HS"
"46",609740,"WELLS HS"
"47",609741,"HUBBARD HS"
"48",609744,"NORTHSIDE LEARNING HS"
"49",609745,"SOUTHSIDE HS"
"50",609746,"KENWOOD HS"
"51",609748,"YORK HS"
"52",609749,"NORTHSIDE PREP HS"
"53",609750,"SIMPSON HS"
"54",609751,"KING HS"
"55",609753,"CHGO AGR HS"
"56",609754,"CHGO MILITARY ACAD HS"
"57",609755,"YOUNG HS"
"58",609756,"CURIE HS"
"59",609759,"CLEMENTE HS"
"60",609760,"CARVER MILITARY"
"61",609761,"CORLISS HS"
"62",609762,"JULIAN HS"
"63",609764,"JUAREZ HS"
"64",609766,"VAUGHN HS"
"65",609768,"HOPE HS"
"66",609769,"GRAHAM"
"67",609772,"ADDAMS"
"68",609773,"AGASSIZ"
"69",609774,"ALCOTT ES"
"70",609777,"ARMOUR"
"71",609779,"ARMSTRONG"
"72",609780,"AMES"
"73",609781,"ATTUCKS"
"74",609782,"AUDUBON"
"75",609783,"JEFFERSON ALT HS"
"76",609786,"AVALON PARK"
"77",609788,"BARNARD"
"78",609789,"BARRY"
"79",609790,"BARTON"
"80",609791,"BASS"
"81",609792,"BATEMAN"
"82",609793,"NICHOLSON TECH ACAD"
"83",609794,"EDISON"
"84",609795,"CLARK"
"85",609796,"BEAUBIEN"
"86",609797,"BEIDLER"
"87",609798,"BELDING"
"88",609799,"BELL"
"89",609800,"BENNETT"
"90",609803,"BLAINE"
"91",609804,"BOONE"
"92",609805,"JOPLIN"
"93",609806,"BRADWELL"
"94",609807,"HAMPTON"
"95",609808,"HALEY"
"96",609809,"BRENTANO"
"97",609810,"BRIDGE"
"98",609811,"BRIGHT"
"99",609812,"BROWN"
"100",609813,"BROWNELL"
"101",609815,"BOUCHET"
"102",609817,"BUDLONG"
"103",609818,"BURBANK"
"104",609819,"BURKE"
"105",609820,"BURLEY"
"106",609821,"BURNHAM"
